Agency,Type of Audit,Info,Contact,Address,Phone,Email,Website
United States Department of Agriculture,All audits,"US Department of Agriculture 
Andy Kmetz 
Attn: Office of Audit, USDA OIG 
1400 Independence Ave SW, Ste 419 
Washington, DC 20250 
(404) 594-9789 
E-Mail: OIG-USDAsingleaudit@oig.usda.gov","US Department of Agriculture Andy Kmetz Attn: Office of Audit, USDA OIG ","1400 Independence Ave SW, Ste 419 Washington, DC 20250 ",(404) 594-9789 ,E-Mail: OIG-USDAsingleaudit@oig.usda.gov,
Department of Commerce,All audits,"Regional Inspector General 
US Department of Commerce 
401 West Peachtree Street NW, Suite 2742 
Atlanta, GA 30308 
Phone: Voice 404-730-2780 or 404-730-2067 
Fax: 404-730-2788 
 
E-Mail: NonFederalAudits@oig.doc.gov",Regional Inspector General US Department of Commerce ,"401 West Peachtree Street NW, Suite 2742 Atlanta, GA 30308 ",Phone: Voice 404-730-2780 or 404-730-2067 Fax: 404-730-2788 ,E-Mail: NonFederalAudits@oig.doc.gov,
Department of Defense,All audits,"Office of the Assistant Inspector General for Audit Policy and 
Oversight 
Office of Inspector General 
US Department of Defense 
4800 Mark Center Drive, Suite 11H25 
Alexandria, VA 22350-1500 
Phone: Voice 703-604-8760 
E-Mail: aponet@dodig.mil",Office of the Assistant Inspector General for Audit Policy and Oversight Office of Inspector General US Department of Defense ,"4800 Mark Center Drive, Suite 11H25 Alexandria, VA 22350-1500 ",Phone: Voice 703-604-8760 ,E-Mail: aponet@dodig.mil,
Department of Education,All audits,"US Department of Education 
Office of Inspector General 
Attn: Mark Priebe Director of the Non-Federal Audit Team 
400 Maryland Ave SW 
Washington, DC 20202 
Phone: 202-245-8255 
E-Mail: OIGNon-FederalAudit@ed.gov 
Web site: 
https://www2.ed.gov/about/offices/list/oig/nonfed/index.html",US Department of Education Office of Inspector General Attn: Mark Priebe Director of the Non-Federal Audit Team ,"400 Maryland Ave SW Washington, DC 20202 ",Phone: 202-245-8255 ,E-Mail: OIGNon-FederalAudit@ed.gov ,https://www2.ed.gov/about/offices/list/oig/nonfed/index.html
Department of Energy,All audits,"US Department of Energy 
Office of Inspector General 
Attn: Single Audit Contact 
1000 Independence Ave. SW, IG-33, Room 5A-193 
Washington, DC 20585 
Phone: Voice 202-586-1969 
Fax: 202-586-0099 
Web site: https://www.energy.gov/ig/office-inspector-general/",US Department of Energy Office of Inspector General Attn: Single Audit Contact ,"1000 Independence Ave. SW, IG-33, Room 5A-193 Washington, DC 20585 ",Phone: Voice 202-586-1969 Fax: 202-586-0099 ,,Web site: https://www.energy.gov/ig/office-inspector-general/
Department of Health and Human Services,All audits,"National Single Audit Coordinator – Tammie Brown 
DHHS/OIG/OAS/NEAR 
Richard Bolling Federal Building 
601 East 12th Street, Room 0429 
Kansas City, MO 64106 
Phone: Voice 816-426-3204 
 800-732-0679 
Fax: 816-426-7745 
Web site: http://www.oig.hhs.gov 
E-Mail: Tammie.Brown@oig.hhs.gov",National Single Audit Coordinator – Tammie Brown DHHS/OIG/OAS/NEAR Richard Bolling Federal Building ,"601 East 12th Street, Room 0429 Kansas City, MO 64106 ",Phone: Voice 816-426-3204  800-732-0679 Fax: 816-426-7745 ,E-Mail: Tammie.Brown@oig.hhs.gov,Web site: http://www.oig.hhs.gov 
Department of Homeland Security,All audits,"US Department of Homeland Security 
OCFO/Financial Assistance Policy and Oversight 
Building 410 
245 Murray Lane, SW 
Washington, DC 20528 
Phone: 202-447-5146 
Fax: 202-447-0374",US Department of Homeland Security OCFO/Financial Assistance Policy and Oversight Building 410 ,"245 Murray Lane, SW Washington, DC 20528 ",Phone: 202-447-5146 Fax: 202-447-0374,,
Department of Housing and Urban Development,All audits,"US Department of HUD 
Office of Inspector General 
National Single Audit Coordinator 
Karen Cookson 
1301 Fannin Street, Room 2200 
Houston, TX 77002 
Phone: Voice 866-492-1740 
Web site: Front Page | Office of Inspector General, 
Department of Housing and Urban Development 
(hudoig.gov) 
Questions on audits of HUD programs: 866-492-1740 
HUDOIGSingleAuditCoordinator@hudoig.gov",US Department of HUD Office of Inspector General National Single Audit Coordinator Karen Cookson ,"1301 Fannin Street, Room 2200 Houston, TX 77002 ",Phone: Voice 866-492-1740 ,HUDOIGSingleAuditCoordinator@hudoig.gov,(hudoig.gov) 
Department of the Interior,All audits,"Director, Financial Audits 
US Department of Interior 
Office of Inspector General 
1849 C Street, NW 
Mail Stop 4428 
Washington, DC 20240 
Phone: Voice 202-208-5724 
E-Mail: morgan_aronson@doioig.gov","Director, Financial Audits US Department of Interior Office of Inspector General ","1849 C Street, NW Mail Stop 4428 Washington, DC 20240 ",Phone: Voice 202-208-5724 ,E-Mail: morgan_aronson@doioig.gov,
Department of Justice,All audits,"US Department of Justice 
Chicago Regional Audit Office 
CitiCorp Center, 500 West Madison, Suite 1121 
Chicago, IL 60661 
Phone: Voice 312-353-1203 
Fax: 312-886-0513",US Department of Justice Chicago Regional Audit Office ,"CitiCorp Center, 500 West Madison, Suite 1121 Chicago, IL 60661 Phone: Voice 312-353-1203 ",Phone: Voice 312-353-1203 Fax: 312-886-0513,,
