Census,GSAFAC,Type,Column Reference
AUDITYEAR + DBKEY,report_id,TEXT,gen.report_id
AUDITYEAR,audit_year,TEXT,gen.audit_year
TYPEOFENTITY,entity_type,TEXT,gen.entity_type
FYSTARTDATE,fy_start_date,DATE,gen.fy_start_date
FYENDDATE,fy_end_date,DATE,gen.fy_end_date
AUDITTYPE,audit_type,TEXT,gen.audit_type
PERIODCOVERED,audit_period_covered,TEXT,gen.audit_period_covered
NUMBERMONTHS,number_months,TEXT,gen.number_months
EIN,auditee_ein,TEXT,gen.auditee_ein
AUDITEENAME,auditee_name,TEXT,gen.auditee_name
STREET1,auditee_address_line_1,TEXT,gen.auditee_address_line_1
CITY,auditee_city,TEXT,gen.auditee_city
STATE,auditee_state,TEXT,gen.auditee_state
ZIPCODE,auditee_zip,TEXT,gen.auditee_zip
AUDITEECONTACT,auditee_contact_name,TEXT,gen.auditee_contact_name
AUDITEETITLE,auditee_contact_title,TEXT,gen.auditee_contact_title
AUDITEEPHONE,auditee_phone,TEXT,gen.auditee_phone
AUDITEEEMAIL,auditee_email,TEXT,gen.auditee_email
AUDITEEDATESIGNED,auditee_certified_date,DATE,gen.auditee_certified_date
CPAFIRMNAME,auditor_firm_name,TEXT,gen.auditor_firm_name
CPASTREET1,auditor_address_line_1,TEXT,gen.auditor_address_line_1
CPACITY,auditor_city,TEXT,gen.auditor_city
CPASTATE,auditor_state,TEXT,gen.auditor_state
CPAZIPCODE,auditor_zip,TEXT,gen.auditor_zip
CPACONTACT,auditor_contact_name,TEXT,gen.auditor_contact_name
CPATITLE,auditor_contact_title,TEXT,gen.auditor_contact_title
CPAPHONE,auditor_phone,TEXT,gen.auditor_phone
CPAEMAIL,auditor_email,TEXT,gen.auditor_email
CPADATESIGNED,auditor_certified_date,DATE,gen.auditor_certified_date
COGAGENCY,cognizant_agency,TEXT,gen.cognizant_agency
OVERSIGHTAGENCY,oversight_agency,TEXT,gen.oversight_agency
TYPEREPORT_FS,gaap_results,TEXT,gen.gaap_results
SP_FRAMEWORK,sp_framework_basis,TEXT,gen.sp_framework_basis
TYPEREPORT_SP_FRAMEWORK,sp_framework_opinions,TEXT,gen.sp_framework_opinions
GOINGCONCERN,is_going_concern_included,BOOLEAN,gen.is_going_concern_included
MATERIALWEAKNESS,is_internal_control_material_weakness_disclosed,BOOLEAN,gen.is_internal_control_material_weakness_disclosed
DUP_REPORTS,is_aicpa_audit_guide_included,BOOLEAN,
DOLLARTHRESHOLD,dollar_threshold,BIGINT,gen.dollar_threshold
LOWRISK,is_low_risk_auditee,BOOLEAN,gen.is_low_risk_auditee
TOTFEDEXPEND,total_amount_expended,BIGINT,gen.total_amount_expended
AUDITOR_EIN,auditor_ein,BIGINT,gen.auditor_ein
FACACCEPTEDDATE,fac_accepted_date,DATE,gen.fac_accepted_date
CPAFOREIGN,auditor_foreign_address,TEXT,gen.auditor_foreign_address
CPACOUNTRY,auditor_country,TEXT,gen.auditor_country
EUI,auditee_uei,TEXT,gen.auditee_uei
MULTIPLEUEIS,is_additional_ueis,BOOLEAN,gen.is_additional_ueis
AUDITEECERTIFYNAME,auditee_certify_name,TEXT,gen.auditee_certify_name
AUDITEECERTIFYTITLE,auditee_certify_title,TEXT,gen.auditee_certify_title
SP_FRAMEWORK_REQUIRED,is_sp_framework_required,BOOLEAN,gen.is_sp_framework_required
SIGNIFICANTDEFICIENCY,is_internal_control_deficiency_disclosed,BOOLEAN,gen.is_internal_control_deficiency_disclosed
MATERIALNONCOMPLIANCE,is_material_noncompliance_disclosed,BOOLEAN,gen.is_material_noncompliance_disclosed
Question 3.d - Audit Info,agencies_with_prior_findings,ARRAY,gen.agencies_with_prior_findings
INTIALDATE,date_created,DATE,gen.date_created
TYPE_AUDITCODE,type_audit_code,TEXT,gen.type_audit_code
SUPPRESSION_CODE,is_public,BOOLEAN,gen.is_public
____,ready_for_certification_date,DATE,Date auditor/auditee marked audit as ready for certification
____,data_source,TEXT,"GSAFAC" or "CENSUS"
____,is_secondary_auditors,TEXT,If secondary auditors data included
