Census,GSAFAC,Type,Column Reference
AUDITYEAR + DBKEY,General.report_id,TEXT,"gen.report_id,"
AUDITYEAR,General.audit_year,TEXT,gen.audit_year
CPAFIRMNAME,auditor_name,TEXT,sa.auditor_name
CPAEIN,auditor_ein,TEXT,sa.auditor_ein
CPASTREET1,address_street,TEXT,sa.address_street
CPACITY,address_city,TEXT,sa.address_city
CPASTATE,address_state,TEXT,sa.address_state
CPAZIPCODE,address_zipcode,TEXT,sa.address_zipcode
CPACONTACT,contact_name,TEXT,sa.contact_name
CPATITLE,contact_title,TEXT,sa.contact_title
CPAPHONE,contact_phone,TEXT,sa.contact_phone
CPAEMAIL,contact_email,TEXT,sa.contact_email
