endpoint,field,description,data_type,notes
general,report_id,Unique identifier for the audit report. ,TEXT,"Has the form YYYY-MM-(CENSUS|GSAFAC)-##########. For CENSUS records, the ### is the historic DBKEY."
general,auditee_uei,Unique Entity Identifier (UEI) of the auditee,TEXT,All UEIs validated against the [SAM.gov schema](https://github.com/GSA-TTS/FAC/blob/ce7cbfed1b4ce48635f54b8155b49fbd1c0efa49/backend/schemas/source/base/Base.libsonnet#L270)
general,audit_year,Year in which the audit was conducted,NUMBER,
general,auditee_certify_name,Name of auditee certifying official,TEXT,
general,auditee_certify_title,Title of auditee certifying official,TEXT,
general,auditee_contact_name,Name of auditee's primary contact,TEXT,
general,auditee_email,Email address of the auditee's primary contact,TEXT,All emails match the [FAC email schema](https://github.com/GSA-TTS/FAC/blob/ce7cbfed1b4ce48635f54b8155b49fbd1c0efa49/backend/schemas/source/base/Base.libsonnet#L247)
general,auditee_name,Full name of the auditee organization,TEXT,
general,auditee_phone,Phone number of the auditee,TEXT,All phone numbers match the the [FAC phone number schema](https://github.com/GSA-TTS/FAC/blob/ce7cbfed1b4ce48635f54b8155b49fbd1c0efa49/backend/schemas/source/base/Base.libsonnet#L244)
general,auditee_contact_title,Job title of the auditee's primary contact,TEXT,
general,auditee_address_line_1,Street address of the auditee,TEXT,
general,auditee_city,City where the auditee is based,TEXT,
general,auditee_state,State where the auditee is based,TEXT,All sets in the [FAC list of states](https://github.com/GSA-TTS/FAC/blob/ce7cbfed1b4ce48635f54b8155b49fbd1c0efa49/backend/schemas/source/base/States.json)
general,auditee_ein,Employer Identification Number (EIN) of the auditee,TEXT,
general,auditee_zip,Auditee's zip code,TEXT,All zip codes match the regular expression `^[0-9]{5}(?:[0-9]{4})?$`
general,auditor_certify_title,Title of auditor certifying official,TEXT,
general,auditor_contact_name,Name of auditor's certifying official,TEXT,
general,auditor_phone,Phone number of the auditor,TEXT,
general,auditor_state,State where the auditor is based,TEXT,
general,auditor_city,City where the auditor is based,TEXT,
general,auditor_contact_title,Job title of the auditor,TEXT,
general,auditor_address_line_1,Street address of the auditor,TEXT,
general,auditor_zip,Auditor's zip code,TEXT,
general,auditor_country,Country where the auditor is based,TEXT,
general,auditor_contact_name,Name of the auditor,TEXT,
general,auditor_email,Email address of the auditor,TEXT,
general,auditor_firm_name,Name of the auditing firm,TEXT,
general,auditor_foreign_address,Address of the auditor (if international),TEXT,
general,auditor_ein,Employer Identification Number (EIN) of the auditing firm,TEXT,
general,cognizant_agency,Two digit federal agency prefix of the cognizant agency,TEXT,"Presented as text, because some numbers begin with 0"
general,oversight_agency,Two digit federal agency prefix of the oversight agency,TEXT,"Presented as text, because some numbers begin with 0"
general,date_created,The first date an audit component or Form SF-SAC was received by the Federal audit Clearinghouse,DATE,YYYY-MM-DD
general,ready_for_certification_date,Date when the report was marked as ready for certification,DATE,YYYY-MM-DD
general,auditor_certified_date,Date when the auditor certified the report,DATE,YYYY-MM-DD
general,auditee_certified_date,Date when the auditee certified the report,DATE,YYYY-MM-DD
general,submitted_date,Date when the auditee submitted the report to the FAC,DATE,YYYY-MM-DD
